Month,Rig_count,Oil_prod_per_rig,total_oil_prod,Gas_prod_per_rig,total_gas_prod,total_gas_oil_ratio
2017-09-01,126,327.754295,451640.504,2166.6846,61069.8316,13.521779171515583
2017-10-01,121,349.619302,471934.313,2298.47789,64955.2696,13.76362510856463
2017-11-01,118,362.618558,489171.262,2401.45996,67466.2343,13.791945590622205
2017-12-01,118,369.887449,481415.036,2491.8771,67117.63769999999,13.94174105106264
2018-01-01,116,373.481163,514289.037,2582.96242,68094.32190000001,13.240477047151211
2018-02-01,120,374.467317,517355.912,2646.57108,68719.94099999999,13.28291402611825
2018-03-01,122,373.122988,540429.461,2663.29325,68477.6425,12.6709677102522
2018-04-01,126,370.069024,519679.193,2643.5177,69908.3763,13.45221768384327
2018-05-01,133,365.662372,517298.012,2609.2946,69814.41380000001,13.495975662090888
2018-06-01,137,360.394543,498716.613,2570.40681,71135.1946,14.263650487215672
2018-07-01,138,356.761,512412.94,2530.4323,71980.4012,14.04734259833485
2018-08-01,138,359.566944,561169.275,2516.61028,72816.4174,12.975838244173293
2018-09-01,136,366.097078,532573.737,2437.95157,73863.1853,13.869100214380268
2018-10-01,137,365.551913,558568.08,2428.87757,75496.81539999999,13.516134935601764
2018-11-01,141,372.852481,561589.426,2433.45219,75348.28099999999,13.416969321641037
2018-12-01,135,384.680546,589962.102,2480.5745,76058.362,12.892075904902788
2019-01-01,124,397.414374,577069.898,2553.00759,74857.8098,12.972052442770114
2019-02-01,110,410.198296,557265.486,2614.43111,74140.1959,13.304286334359489
2019-03-01,104,423.230016,571334.351,2652.80278,73420.8842,12.850773644450445
2019-04-01,100,445.951591,591519.751,2698.97368,75508.2078,12.765120297732881
2019-05-01,94,475.479185,582528.686,2751.80579,77034.3277,13.224126047588324
2019-06-01,93,506.76633,571312.308,2791.82964,76926.3796,13.464856003067242
2019-07-01,90,530.573986,571594.825,2780.26909,74285.5521,12.996190457112695
2019-08-01,79,546.991489,555353.98,2732.05032,75089.3318,13.520985624339993
2019-09-01,65,556.651004,606539.609,2675.93292,77143.4354,12.718614622248024
2019-10-01,54,566.376448,601060.516,2642.32762,76232.4851,12.682996648543789
2019-11-01,48,581.841093,572696.286,2663.23963,75678.7702,13.214468480069732
2019-12-01,45,602.031551,590216.817,2773.59208,75785.94080000001,12.840356055120672
2020-01-01,47,626.137667,539663.203,3030.56938,76893.3707,14.248399793157661
2020-02-01,46,654.943653,536615.396,3427.25664,75785.94080000001,14.122953117804322
2020-03-01,40,687.007972,526062.433,3852.98875,75062.53910000001,14.268751081870164
2020-04-01,23,618.307175,469105.743,3467.68988,71061.5024,15.148290862002941
2020-05-01,10,494.64574,313629.197,2774.1519,63470.2497,20.237353635159167
2020-06-01,8,583.681973,442527.963,3606.39747,67096.1892,15.162022473142562
2020-07-01,8,747.112926,465371.521,4327.67697,66265.61679999999,14.239293512763107
2020-08-01,9,885.328817,431490.343,4976.82852,66113.79179999999,15.322195009124457
